Method,Dataset,Preference,Initialization,Beta Friend,Beta Enemy,Repetitions,Adjusted Rand Index,Adjusted Rand Index SD,Modularity,Modularity SD,Seconds,Seconds SD,Moves,Moves SD,Converged,Converged SD,Final Coalitions,Final Coalitions SD,Initial Adjusted Rand Index,Initial Adjusted Rand Index SD
Louvain,Karate Club,-,-,,,10,0.43885452001718495,0.03485517961550936,0.4395344914825435,0.008083611030824936,0.006405350007116795,0.0009361387456541669,,,,,,,,
Leiden,Karate Club,-,-,,,10,0.4268858077274732,0.03795249673313366,0.44092314611795136,0.00606772596574057,0.012331080005969853,0.0012016854349242386,,,,,,,,
Louvain,Cora,-,-,,,10,0.24188012622896266,0.015631764831962516,0.81479255120492,0.0007546989590943812,1.714270339999348,0.08938131647074847,,,,,,,,
Leiden,Cora,-,-,,,10,0.14364997618019776,0.013803835277646911,0.798566500596397,0.0029970477357472124,3.294000019982923,0.18687759131018833,,,,,,,,
Louvain,Jazz,-,-,,,10,,,0.44164623058339336,0.0031657755474932218,0.16637273000087588,0.01414232560311938,,,,,,,,
Leiden,Jazz,-,-,,,10,,,0.44104946104069864,0.0045999462238818425,0.3638615099946037,0.018797556140854467,,,,,,,,
Louvain,Random-25,-,-,,,10,0.905060804022104,0.015098539297176364,0.8531175634186091,0.00024360950440662258,0.05993102999636903,0.005277815549697566,,,,,,,,
Leiden,Random-25,-,-,,,10,0.9070320373785282,0.004610980489875251,0.8533603602600227,8.428251594772177e-05,0.09887800000142306,0.0030917168473896923,,,,,,,,
LocPop,Karate Club,B,Ld,0.25,0.35,10,0.13209890231733007,0.0021953653398381237,0.29461872903431346,0.005011929819160906,0.0007705199881456792,0.00010370493048468501,14.2,0.4,1.0,0.0,16.2,0.6,0.37308358655264146,0.0189399914132218
LocPop,Karate Club,B,S,0.25,0.35,10,0.09600532908417185,0.00873365382629078,0.2504694439759375,0.01429149487191502,0.0009184799971990287,0.00023594386880628195,17.6,1.4966629547095767,1.0,0.0,18.8,0.4,0.0,0.0
LocPop,Karate Club,B,P,0.25,0.35,10,0.11121411686765467,0.011134437250678832,0.26754558572740395,0.010862012360372967,0.0008182099903933704,0.00024047271885145095,27.8,1.8330302779823362,1.0,0.0,18.4,0.8,0.010145040061413313,0.022420747317094765
LocPop,Karate Club,AF,Ld,0.25,0.35,10,0.1450109657726002,0.008847263079949978,0.31164427203388245,0.017831019491338994,0.0009263700223527849,0.0005186464330077177,13.2,0.8717797887081348,1.0,0.0,16.1,0.9433981132056604,0.38813182234329996,0.04403808397878027
LocPop,Karate Club,AF,S,0.25,0.35,10,0.10779036076566004,0.013190217462853466,0.27356683720320085,0.009486342294575659,0.0010474399896338582,0.0007541700853042863,19.1,0.8306623862918076,1.0,0.0,17.6,0.4898979485566356,0.0,0.0
LocPop,Karate Club,AF,P,0.25,0.35,10,0.13419364896636204,0.016210108525128608,0.2904893086711269,0.018020574806583863,0.000923549965955317,0.00034781317628158507,27.4,1.8000000000000003,1.0,0.0,17.1,1.0440306508910548,0.006855455887963972,0.01861248537870352
LocPop,Karate Club,AE,Ld,0.25,0.35,10,0.10143494080869164,0.003387485266232766,0.2631294391034651,0.00017709563164108324,0.0007899199961684644,0.00010636272502902396,17.5,0.6708203932499369,1.0,0.0,18.1,0.3,0.2956452562026428,0.012360039720669196
LocPop,Karate Club,AE,S,0.25,0.35,10,0.09148762531862864,0.004152147937695366,0.24282153632802986,0.020582277395230428,0.000751909997779876,7.960263531099369e-05,17.2,1.6613247725836147,1.0,0.0,19.2,0.4,0.0,0.0
LocPop,Karate Club,AE,P,0.25,0.35,10,0.0957094042450797,0.005435556066116178,0.2592979891681191,0.006899274691033346,0.0009107399848289788,0.00031947370389652887,29.8,2.039607805437114,1.0,0.0,19.0,0.6324555320336759,0.0011775529251089687,0.019646875013278033
LocPop,Cora,B,Ld,0.25,0.35,10,0.03737070658769928,0.0002639865462145059,0.381143504513936,0.0012710922119021826,0.9144997999886982,0.06338998594986371,1608.4,48.957532617565604,1.0,0.0,127.4,2.6907248094147422,0.07667136733344312,0.008773497810787739
